Year,N_y_MM,N_m_MM,N_o_MM,psi_y_MM,psi_o_MM,n_m_MM,psi_y_MM_s,psi_o_MM_s,n_m_MM_s,gamma_MM_path,phi_MM_path
2047,49767.52,512781.3655,313310.46,0.0970540728434485,0.611002039230694,-0.00902743589463528,0.0980399318600027,0.611400285269428,-0.00874671236656286,0.963675103184854,0.0183955048182501
2048,49308.4885,507969.138,314822.3805,0.0970698509246835,0.619766747522366,-0.00938456001673882,0.0977787597787306,0.619935601317145,-0.00907311194369833,0.963870757680162,0.01845965665754
2049,48993.677,503122.5815,316107.933,0.0973792049920144,0.628292079551591,-0.00954104518845766,0.0976891840690908,0.62855267102074,-0.00936773215522251,0.964075230851948,0.0185510501352849
2050,48682.9115,498260.7375,317294.2345,0.0977056947016621,0.636803606264481,-0.00966333887361026,0.0977533247547119,0.637241156796169,-0.00962752592757966,0.964288482065799,0.0186608548308561
2051,48375.5525,493385.5505,318385.8805,0.098048174396222,0.645308481728631,-0.00978440931240343,0.0979499408235061,0.645987945351977,-0.00985119789285718,0.9645079946751,0.0187823567690905
2052,48075.185,488537.0735,319350.585,0.0984064211454364,0.653687513850471,-0.00982695377902021,0.0982571140483745,0.65477539434415,-0.0100378731818578,0.964728283952048,0.0189108689395368
2053,47782.222,483634.2615,320276.837,0.098798256872461,0.662229421064289,-0.0100357010060159,0.0986537588812335,0.66357871785036,-0.0101859323786188,0.964940887150016,0.0190431871256731
2054,47494.3475,478623.1395,321228.934,0.0992311979517238,0.671152118419465,-0.0103613875172076,0.0991202038479928,0.672362388732145,-0.0102919703810422,0.965134109509536,0.0191770545408395
2055,47217.383,473476.5525,322245.2655,0.0997248601872423,0.68059392550384,-0.0107529005082713,0.0996381887425177,0.681077924736647,-0.010351332208651,0.965294715698737,0.0193106376717814
2056,46959.89,468302.8255,323222.9505,0.100276759914616,0.690200726751754,-0.0109271028790809,0.10019058996785,0.689665607285638,-0.0103602534625706,0.965411552641331,0.0194420390672048
