Year,N_y_B,N_m_B,N_o_B,psi_y_B,psi_o_B,n_m_B,psi_y_B_s,psi_o_B_s,n_m_B_s,gamma_B_path,phi_B_path
2031,NaN,NaN,NaN,0.0985691965858398,0.48014820723186,-0.00988659015809706,0.0977046736402839,0.486242374352138,-0.00958262706720026,0.963650439964814,0.0191577515889229
2032,NaN,NaN,NaN,0.0988810970281543,0.497149272023036,-0.0104085798865148,0.0983571845297646,0.499056491159152,-0.00982171547754664,0.964858114064738,0.0192274093359135
2033,NaN,NaN,NaN,0.0991480287866665,0.513990860544791,-0.0101601482297541,0.098929559545708,0.512049858940782,-0.00999810290000466,0.965682924275338,0.0192547040057063
2034,NaN,NaN,NaN,0.0986919128899238,0.530296342505021,-0.00997993959516097,0.0993858585634123,0.525004634025719,-0.0101294558122263,0.966090731491348,0.0192354862641676
2035,NaN,NaN,NaN,0.100552080560721,0.547903412834225,-0.0100717656747751,0.0996913263803787,0.537721741254034,-0.0102352681826224,0.966121024752373,0.0191622720686643
2036,NaN,NaN,NaN,0.100775537158756,0.556619576887435,-0.0104811912588633,0.0998083516337166,0.550058148407046,-0.0103340246832297,0.965878435030266,0.0190238685600384
2037,NaN,NaN,NaN,0.100842197785611,0.564743553179189,-0.00953230496671198,0.0997055792847325,0.561959341487084,-0.0104431050034708,0.965517450499148,0.0188176621438569
2038,NaN,NaN,NaN,0.100932687286418,0.573987349824544,-0.00910455572847807,0.0993615299088429,0.573436819286367,-0.0105790712633368,0.965141693124753,0.0185459137753171
2039,NaN,NaN,NaN,0.100753800076226,0.584046299883601,-0.0103898109744769,0.098766651382653,0.584532802492378,-0.010750117655031,0.964795052366656,0.0182156743328217
2040,NaN,NaN,NaN,0.0997843287086598,0.594562684001789,-0.0110196703209698,0.0979272306344596,0.595297087266059,-0.0109523690629168,0.964491935200837,0.0178413743571192
2041,NaN,NaN,NaN,0.0987981490283813,0.605630796631199,-0.0112794693199491,0.0968687075390679,0.605775884106468,-0.0111771550161403,0.96423289383277,0.0174442064711229
2042,NaN,NaN,NaN,0.0975633284574098,0.616108790978125,-0.0115809862478975,0.095635621268387,0.616009394753165,-0.011415823920372,0.964015166814944,0.0170488958242174
2043,NaN,NaN,NaN,0.0957226688071857,0.625694114925644,-0.012064703409129,0.0942918755923403,0.626035774890252,-0.0116608045193312,0.963841946493461,0.0166838594485874
2044,NaN,NaN,NaN,0.0920794277244239,0.635765507229921,-0.0125230544664575,0.0929200124348248,0.63589303009655,-0.0119064899717262,0.963717730374722,0.0163801607647246
2045,NaN,NaN,NaN,0.0892943275559223,0.647094570701094,-0.0122055928464849,0.0916140388634039,0.645616817859124,-0.0121513093325306,0.963639636216793,0.0161647983901124
2046,NaN,NaN,NaN,0.0876129933104625,0.659209026510686,-0.0113586644819801,0.0904608049474355,0.65524384953947,-0.0123986149570254,0.963605216185401,0.0160479851674665
2047,NaN,NaN,NaN,0.0869072730429454,0.666317260498311,-0.0118922857058363,0.0895253303832514,0.664827248393821,-0.0126514119750297,0.963635515886105,0.0160240645884239
2048,NaN,NaN,NaN,0.0869558196516528,0.673786829451112,-0.0133334040944468,0.088845144942612,0.674451835444115,-0.0129045158788954,0.963781738146387,0.0160783770523361
2049,NaN,NaN,NaN,0.0870528489566234,0.681010483894283,-0.0135873822222135,0.0884321734035245,0.684218021307236,-0.013146601475223,0.964076077027478,0.0161934749081109
2050,NaN,NaN,NaN,0.0873040175598057,0.689189714705259,-0.0133094462033305,0.0882788882157958,0.694218846988485,-0.0133686957715224,0.964514271581725,0.016352975893371
2051,NaN,NaN,NaN,0.0877266331783716,0.699273829893471,-0.0133385539148396,0.0883636515704206,0.704516167823247,-0.0135654162831068,0.965054630301126,0.0165418512799358
2052,NaN,NaN,NaN,0.0883191141152469,0.709866019827653,-0.0135461663254547,0.0886548663562673,0.715123747556886,-0.0137313416702491,0.96563311122386,0.0167465948392626
2053,NaN,NaN,NaN,0.0894172353603077,0.721360640461714,-0.013897060189817,0.0891144393402091,0.726002730049691,-0.0138591114107539,0.966183796426728,0.0169554993120724
2054,NaN,NaN,NaN,0.0904012671981504,0.733536523455287,-0.014001463623158,0.0897014536673412,0.737062213137654,-0.0139397999740617,0.966646107887283,0.0171594818736687
2055,NaN,NaN,NaN,0.0909537272866594,0.746200044118264,-0.0143979087432474,0.0903776444109917,0.748165247896219,-0.013964529444799,0.966970575290216,0.0173544002005898
