Year,N_y_C,N_m_C,N_o_C,psi_y_C,psi_o_C,n_m_C,psi_y_C_s,psi_o_C_s,n_m_C_s,gamma_C_path,phi_C_path
2011,NaN,NaN,NaN,0.116937762609077,0.295946629120412,0.00410359611127409,0.117253726292234,0.299586140807293,0.00526972665275573,0.936426635927809,0.0234861009745908
2012,NaN,NaN,NaN,0.117687086853547,0.302296959072668,0.00197995543007079,0.116519596096003,0.304724224635957,0.00481439421225812,0.938599116840498,0.0232775863312754
2013,NaN,NaN,NaN,0.119368139745705,0.312058078200944,0.00189220444089822,0.115717314766417,0.310261028477698,0.00444331381769709,0.940652538980333,0.0230158062332631
2014,NaN,NaN,NaN,0.117509052721887,0.316626551038798,0.00194936735657714,0.114798163288539,0.316110359692014,0.00415420951210492,0.942508151248977,0.0227012070973108
2015,NaN,NaN,NaN,0.114748930480637,0.322823594144003,0.0048158211601077,0.113744536587008,0.322194909686677,0.00391914251284902,0.944156457717618,0.0223517870051192
2016,NaN,NaN,NaN,0.114220588242638,0.331361529227187,0.00505683952850178,0.112564921802972,0.328444929633043,0.00369254137845566,0.945569644233441,0.0219849431648856
2017,NaN,NaN,NaN,0.112462185497662,0.336274319717499,0.00369699836740245,0.111281920776986,0.334800683377164,0.00343345785025169,0.946734686265931,0.0216120651190908
2018,NaN,NaN,NaN,0.111248823589019,0.344698020651649,0.00374716853824264,0.109932962495012,0.341225614427001,0.00311208409341009,0.947690829162642,0.0212495464973462
2019,NaN,NaN,NaN,0.109476186775618,0.355028666092894,0.00396680418464679,0.108568426425199,0.347703845669609,0.00270375292068545,0.948474959892288,0.0209155986292302
2020,NaN,NaN,NaN,0.107517378449259,0.35999219880656,0.00268713074401772,0.107251068246881,0.354257695415713,0.00219064382759405,0.949180608612405,0.0206312759973801
2021,NaN,NaN,NaN,0.104509522824548,0.36201537310529,0.000145438469809411,0.10605242009175,0.360974307213933,0.00156534670766077,0.949984605873869,0.020417574300875
2022,NaN,NaN,NaN,0.102210780946064,0.36151175947184,0.00561234138978906,0.105044738172123,0.367993524781036,0.000823530731669394,0.95102773770071,0.0202893096688076
2023,NaN,NaN,NaN,0.102359211089025,0.370573595081796,0.00541588550533079,0.104285566181643,0.37546094436181,-3.97987938670708e-05,0.952315673699974,0.0202456252041929
2024,NaN,NaN,NaN,0.101866570500865,0.378299853377672,-0.00174250459623815,0.103807523434721,0.383472038725246,-0.000990594443422461,0.953740139505441,0.0202762393335074
