Year,N_y_A,N_m_A,N_o_A,psi_y_A,psi_o_A,n_m_A,psi_y_A_s,psi_o_A_s,n_m_A_s,gamma_A_path,phi_A_path
1987,NaN,NaN,NaN,0.171855674849475,0.207406160171572,0.0162063121116897,0.172474477152358,0.212979663773956,0.0168181086948467,0.903151037248845,0.0349768791697165
1988,NaN,NaN,NaN,0.1667293440842,0.212953606612127,0.0150561195864004,0.169618184633313,0.214250932679424,0.0164068479214088,0.90509164928303,0.0344215026714108
1989,NaN,NaN,NaN,0.163580419724629,0.215388777463571,0.0150300174285096,0.167004195816341,0.215835800727059,0.0160126658802261,0.9068427607725,0.0339838304978932
1990,NaN,NaN,NaN,0.161074560189065,0.218524207304057,0.016338699056547,0.164681459307577,0.217633798390344,0.0156344396545794,0.908266284915254,0.0336528049922767
1991,NaN,NaN,NaN,0.159187209638908,0.220925105871403,0.0166866742169615,0.162664932393234,0.219540760839385,0.015263340834921,0.909287471720266,0.0334025752521799
1992,NaN,NaN,NaN,0.159100103947836,0.22229667592603,0.0162045067627981,0.160933664791646,0.221460097246681,0.0148960253930809,0.909894689783667,0.0331989908343964
1993,NaN,NaN,NaN,0.158339048264805,0.225245370074339,0.0135831599529293,0.159434128189193,0.223307446360023,0.0145421224899461,0.910117953996012,0.0330057069770815
1994,NaN,NaN,NaN,0.156891640276735,0.227351901275902,0.0136226444306774,0.15809274874018,0.225009673498686,0.0142208543778577,0.909998777969543,0.0327936601468549
1995,NaN,NaN,NaN,0.157703445553867,0.228749638793702,0.0131679066996392,0.156823469452438,0.226512045499311,0.0139461813921108,0.909609886503556,0.0325363590118175
1996,NaN,NaN,NaN,0.159645561170069,0.230087657209689,0.0129145588463661,0.155531782933668,0.227782631266074,0.013725110876387,0.90904204534475,0.0322076983372846
1997,NaN,NaN,NaN,0.157023238485961,0.231348369855016,0.0127941809676562,0.154134011041032,0.228812391330931,0.0135570376141879,0.908385368878711,0.0317981852794066
1998,NaN,NaN,NaN,0.157690050715383,0.231807642759208,0.0131207982770128,0.152580523302553,0.229615844602252,0.0134333036289829,0.907732062729166,0.0313229749671194
1999,NaN,NaN,NaN,0.154622579305051,0.23143889820179,0.0133170796684304,0.150856672773911,0.230232157695811,0.0133382231934532,0.907180625806977,0.0308044141035492
2000,NaN,NaN,NaN,0.152235311882392,0.231827634196061,0.0137884723161827,0.148993424032047,0.230721557684721,0.0132526863015269,0.906820490244288,0.0302826489226048
2001,NaN,NaN,NaN,0.1465119408878,0.230831560076415,0.0137069104844262,0.147061160915494,0.23115794981834,0.0131578164598636,0.906718408954042,0.0298014254535572
2002,NaN,NaN,NaN,0.140683851068789,0.230951031001634,0.0139377071508436,0.145157513454547,0.231624169744699,0.0130392339673084,0.906931263455299,0.0294013275021984
2003,NaN,NaN,NaN,0.138347106721827,0.231479554100743,0.0127617543927332,0.143374339533631,0.232201584052568,0.0128886713033403,0.907480226166456,0.0290962335055754
2004,NaN,NaN,NaN,0.138805014532457,0.231104031548036,0.0129626694940339,0.141763983396795,0.232965261393572,0.0127046220077884,0.908370189812189,0.0288655695932649
